specObjID,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,z
5978711674399158272,20.06806,20.17909,20.2489,20.00345,19.86095,20.06591,20.12867,20.23908,19.96257,19.90061,1.877221
2230452303775688704,21.85624,19.89694,19.64361,19.72517,19.49553,21.89355,19.88971,19.64537,19.71531,19.50174,3.2829
4260588954334195712,21.28066,20.19796,19.86645,19.46482,19.01215,21.09112,20.2102,19.85329,19.44898,18.98654,2.166788
1055009214935623680,20.25772,20.17928,20.22911,19.95522,19.87288,20.21526,20.16528,20.19389,19.9367,19.87864,1.73076
4522744962995646464,21.43368,20.77431,20.47574,20.27322,19.96788,21.22488,20.75546,20.46549,20.27462,19.93704,2.167341
2567177743422744576,19.69124,19.44638,19.04362,18.84764,18.47168,19.51881,19.13214,18.59009,18.38543,18.08354,0.259189
4344910775560368128,22.55839,21.28295,20.77769,20.28152,19.93439,22.60498,21.29478,20.61405,20.07239,19.74958,0.6969776
7670772665686880256,20.77097,20.66584,20.0907,19.79888,19.81767,20.78772,20.5805,20.08034,19.76081,19.77258,1.43398
7930915745314828288,23.65781,22.51522,21.29692,20.32796,19.92523,23.70567,21.14964,20.197,19.40835,19.09716,0.5361297
4736780296954507264,23.8976,22.22268,21.56994,21.46241,21.19329,20.27761,21.47122,20.64834,20.5469,19.97216,0.1079791
8264309388476084224,21.40693,21.34753,21.21462,20.95231,20.39642,21.27328,21.33219,21.18338,20.89816,20.05116,1.628458
7576399933407424512,21.74815,21.13165,21.12266,20.95913,20.68739,21.60361,21.10447,21.10661,20.98236,20.49486,2.381131
904190023060973568,19.74006,19.43541,19.41555,19.23614,18.74485,19.72731,19.3912,19.17163,18.92726,18.40452,0.4022348
4480120749973762048,25.03965,18.75477,17.814,17.6129,17.32081,25.15067,18.77992,17.81805,17.60714,17.32093,3.429456
7306202096197103616,26.0415,22.48642,21.2302,21.15938,22.02415,26.22175,22.37385,21.23803,20.95234,21.02258,3.732494
2920747980782856192,19.77297,19.46866,19.16486,19.07449,19.26282,19.6487,19.47796,19.1749,19.089,19.26693,1.16324
6806308030805372928,20.39695,19.83467,19.7672,19.79141,19.76925,20.32085,19.80386,19.73317,19.79423,19.69798,2.598524
1324105341394249728,21.80811,19.49471,19.16993,19.0219,19.09763,21.819,19.48835,19.16184,19.03593,19.02209,3.265795
1678852875930855424,22.24694,20.76546,19.78958,19.27876,18.9311,19.77652,18.93904,17.99112,17.51572,17.27542,0.243618
7260035252818210816,21.82889,21.38036,21.25806,21.07296,20.61748,21.62293,21.35409,21.211,21.04711,20.05261,0.7643869
8220347340520353792,21.7944,21.991,21.97944,21.55706,22.33522,21.73725,21.99445,21.75819,21.42037,21.91224,1.785018
2667360570910468096,18.71719,18.53746,18.68066,18.5218,18.37882,18.67442,18.44657,18.59739,18.41056,18.2981,0.4804924
5362912043408748544,24.73185,21.10574,20.69537,20.60852,20.40482,24.75259,21.11467,20.69754,20.43712,20.44362,3.206727
7517653576320741376,21.33143,20.63039,20.0835,19.9326,19.90036,21.23166,20.55707,20.07104,19.90759,19.69453,1.27756
