specObjID,psfMag_g,psfMag_r,psfMag_i,cModelMag_g,cModelMag_r,cModelMag_i,class
5337970718876037120,21.81952,20.18347,19.3612,21.27651,19.50195,18.81393,1
6420070764066304000,22.52168,20.91865,19.96601,22.05147,19.62843,18.50308,1
2489449694820853760,20.83219,19.35581,18.7645,19.42707,17.9106,17.44297,1
2383657990050834432,18.74491,18.22453,17.88167,15.86844,15.34593,15.02987,1
2430912804362938368,20.48297,19.09081,18.56532,19.24348,17.51553,16.99354,1
7091156036593840128,22.93163,21.38217,20.60035,22.16006,20.79265,19.89993,1
2184324216235517952,18.9703,18.19914,18.36146,17.68449,16.68611,16.46439,1
1111314102795397120,21.64691,19.97578,19.43443,20.07788,18.2499,17.6042,1
7941034550372265984,22.27656,20.57203,19.90977,21.07464,19.58766,18.79663,1
4420302914846388224,22.92235,21.23851,20.21733,22.168,20.22194,19.43114,1
578838204774377472,20.33035,18.93254,18.39595,18.927,17.67336,17.15961,1
5812097728129986560,22.05705,20.34205,19.70009,21.01259,19.39182,18.74014,1
4462063196673077248,22.48285,20.79461,20.03614,21.94764,20.16707,19.37508,1
1613424787906914304,19.2495,18.39344,17.95642,18.41343,17.41077,17.00888,1
1617945155271157760,20.19831,19.58819,19.5306,17.1164,16.69313,16.44706,1
4257274750973964288,23.21643,21.47272,20.4207,22.09117,20.51751,19.62024,1
5355911174372913152,23.05932,21.41915,20.45225,21.29164,21.05833,19.88588,1
1511110553957853184,17.68682,16.67656,16.22527,15.73129,14.80182,14.31593,1
1699095158970148864,20.75541,20.27011,19.78421,18.91048,18.30887,17.96324,1
7219426714874212352,22.43078,20.99527,20.0711,22.07467,20.51102,19.68396,1
6603663914553765888,22.62356,20.96495,19.96005,22.07616,20.32887,19.20486,1
5012730503636905984,22.62436,21.30923,20.43972,22.49156,20.47902,19.68163,1
8043549990889123840,19.57112,18.61992,18.10313,17.96145,16.97406,16.56244,1
8060529749611180032,18.74457,17.86767,17.49336,17.3615,16.39637,15.97113,1
4259339084105445376,22.59321,21.24683,20.39039,21.50161,20.56287,19.75537,1
2384684928961898496,20.17445,19.54138,19.19286,18.32424,17.68473,17.36208,1
5063297043868086272,22.66518,21.22276,20.36507,21.69642,20.31247,19.2786,1
5135443424308817920,22.80622,20.91273,20.08228,21.17137,20.13889,19.30557,1
3136896304853051392,19.91434,18.96201,18.48208,18.70664,17.67902,17.23201,1
2585076419256150016,19.328,19.34242,18.93168,17.41472,16.86779,16.54403,1
2412932488297998336,18.21969,17.34146,16.91955,17.55748,16.65491,16.21345,1
2852070292333815808,20.117,19.08851,18.54218,18.81649,17.80901,17.33528,1
5823349308481269760,21.75778,20.13818,19.55814,20.6592,19.16087,18.51174,1
6736416478667141120,21.29057,19.68331,19.23353,20.19213,18.63283,18.14145,1
4901217209647034368,22.24211,20.37651,19.70208,21.35485,19.6868,18.94616,1
5210872946168098816,22.81744,21.17087,20.25722,21.83187,20.51735,19.63155,1
6428988085577117696,20.48075,19.14701,18.59686,19.33529,17.94432,17.4518,1
1328714497560438784,19.45342,18.8973,18.51014,18.01165,17.11268,16.69977,1
4838040650501517312,23.00436,21.41195,20.46135,21.7417,20.6818,19.65051,1
6110518104981958656,22.69427,21.0827,20.26634,22.3399,20.17973,19.35749,1
6422186223867719680,22.46655,21.81929,21.07631,21.54573,20.80506,19.84668,1
7938737670749614080,22.73147,21.61931,20.7816,22.48706,20.74972,19.76589,1
7308364011069435904,23.58439,21.52337,20.47643,21.91466,20.69841,19.39398,1
1445709127480272896,21.8197,19.92502,19.25072,20.89048,19.13825,18.55276,1
808401667681708032,19.26971,18.74058,18.37965,17.99192,17.48942,17.10002,1
4333624838926823424,23.25325,22.30875,21.38893,22.28142,21.46385,19.76784,1
8257616934901313536,22.9027,22.38386,22.17307,22.85025,21.7016,20.83731,1
5134253477195345920,23.25293,21.47554,20.33906,22.33297,21.22187,19.89893,1
1746273560109803520,20.91234,20.01834,19.60962,20.17785,19.28168,18.95339,1
6942562812082974720,21.31594,19.87811,19.32971,20.1297,18.58502,17.99261,1
1180044303343314944,19.84204,19.48332,19.09671,18.9639,18.48901,18.22167,1
3247243016703862784,18.64783,18.40227,18.11681,16.86005,16.59939,16.28117,1
