specObjID,fa,fb,fc,fd,fe,ff,fg,z
4127618139830284288,1.003243,-3.069885,0.9819549,0.0513451583286118,0.9556208,1.010087,0.03321266,3.13859
3233684389183383552,0.9939945,-0.5880108,0.9759518,0.0154025987155316,0.9928114,1.008236,0.1152077,0.5752133
7301653966566912000,0.9691942,0.06427193,0.9145805,0.0818436811753129,0.9808308,1.054897,0.7084866,0.5642788
6925625661500092416,1.0088,0.06297684,1.014899,0.0951488248243735,0.9955386,1.006674,-0.006429672,1.253397
8219239581901058048,0.9991273,-0.02988243,0.9924241,0.0663254089631466,0.9886109,0.9956723,0.02306938,1.194828
6952669249496870912,1.009729,-0.4526157,1.003185,0.0593138514875884,1.002813,1.017224,-0.0184536,2.429035
2390333669496612864,1.001569,-0.1190147,0.982681,0.0223860016136706,1.000162,0.9998729,0.02117157,1.62521
4863888795957391360,0.9978633,-0.6250782,0.9839897,0.0369567794899803,0.9909584,1.026108,0.08099174,0.7628403
1252029886818707456,0.997802,-0.1035748,0.99305,0.0252208104557065,0.9827967,0.9963053,0.1077785,1.135471
6073185012294545408,1.007712,-0.919548,1.016651,0.0877536138369436,0.9967023,1.026307,0.03581238,2.496
5413531906732650496,1.001617,-1.449165,1.001373,0.176857582937368,1.005623,0.9965895,0.02262878,1.253396
5642086014979338240,0.9691494,-0.2899513,0.9273911,0.077456626935109,0.9924732,1.041543,0.7228813,0.5753358
4569084980546433024,1.002054,-0.7349358,0.9937717,0.0145290078338485,0.9839141,1.015094,0.01156998,2.53117
5956033695290421248,1.010825,-0.991972,0.9820542,0.108236223457534,1.008981,1.009871,0.07335663,2.452865
5324639688836444160,0.9886382,-0.9332371,0.9570848,0.119182725826609,1.006195,1.024781,0.2357712,0.6926411
2525563979003095040,1.003298,-0.2396259,0.9998574,0.0163590622740653,0.9949268,1.005284,0.007713318,0.8873183
5289588907360055296,1.002593,-1.283333,0.9955348,0.017537880550372,0.9867542,0.9991187,3.242493e-05,2.935054
619270270397474816,0.9835042,-0.6104946,0.9749992,0.0128866327155062,1.069462,0.9983472,0.2814903,0.0419647
